id,transcription,gpt_answer,gpt_normalized_answer,ground_truth
16,"Cutthroat Kitchen is a cooking show hosted by Alton Brown that aired on the Food Network from August 11th, 2013 to July 19th, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which they can purchase opportunities to sabotage one another. Each chef is given $25 at the start of the show. The person left standing keeps whatever money they have not spent in the auctions. The show ended on its 15th season in July 2017. The series shares some basic elements with other four-chef, three-round elimination-style competitions on Food Network, including Chopped and Guys grocery games. Numerous Cutthroat Kitchen contestants have competed on these shows. Will there be a new season of Cutthroat Kitchen?",False,False,false
17,"In 2006, Sikma was voted as one of the 100 legends of the IHSL Boys Basketball Tournament, a group of former players and coaches in honor of the 100th anniversary of the IHSL Boys Basketball Tournament. On June 27, 2017, Sikma was inducted into the Small College Basketball Hall of Fame as part of their second class. Inducted alongside Sikma were Zelmo Beattie, Walt Frazier, Bob Love, Elmore Smith, Jim Spivey, Rico Swanson, George Tinsley, and Al Tucker. Is Jack Sikma in the Hall of Fame?",True,True,true
18,"In J.R.R. Tolkien's fictional universe of Middle-earth, the half-elven, cinder-and-singular Paradhel, plural Paradil, quenya-singular Perelda, are the children of the union of elves and men. Of these, the most significant were the products of couplings between the Eldar, the elves who followed the call to Valinor, and the Edain, the men of the three houses of early men who allied themselves with the Eldar in their war against Morgoth. When elves and humans mate Lord of the Rings",True,True,true
19,"The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy, and P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg, who at the time produced Starsky & Hutch and Charlie's Angels, and directed by Randall Kleiser, who would work with Travolta again in Greece shortly after. The original music score was composed by Mark Snow. The theme song, What Would They Say?, was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming. The Boy in the Plastic Bubble based on true story?",True,True,true
20,"These terms are used with respect to reasoning, epistemology, to distinguish necessary conclusions from first premises, i.e., what must come before sense observation, from conclusions based on sense observation, which must follow it. Thus, the two kinds of knowledge justification or argument may be glossed. Science begins with the premise that knowledge should first be acquired through observation.",True,True,true
21,"Timothy Donald Brown, born July 22, 1966, is a former American football wide receiver who played professionally in the National Football League, NFL. He played college football for Notre Dame, where he won the Heisman Trophy, becoming the first wide receiver to win the award. He spent 16 years with the Los Angeles-Oakland Raiders, during which he established himself as one of the NFL's most prolific wide receivers. Brown has also played for the Tampa Bay Buccaneers. In 2015, he was inducted into the Pro Football Hall of Fame. Is Tim Brown in the Hall of Fame?",True,True,true
22,"Drinking in public in Denmark is legal in general. The law forbids disturbing of the public law and order. Thus, general consumption is accepted. Several cafes have outdoor serving in the same zones. Can you drink alcohol in public in Denmark?",True,True,true
23,"Both Jersey and Bank of England notes are legal tender in Jersey and circulate together, alongside the Guernsey Pound and Scottish Bank notes. The Jersey notes are not legal tender in the United Kingdom, but are legal currency, so creditors and traders may accept them if they so choose. Is Jersey currency legal tender in the UK?",False,False,false
24,"The Bucks have won one league title, 1971, two conference titles, 1971 and 1974, and 13 division titles, 1971, 1974, 1976, 1980, 1986, 2001. They have featured such notable players as Kareem Abdul-Jabbar, Sidney Moncrieff, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Castle, Junior Bridgman, Michael Redd, Terry Cummings, Vin Baker, John McLaughlin, Marcus Johnson, and Brian Winters. Have the Milwaukee Bucks ever won a championship?",True,True,true
25,"This is a list of all penalty shootouts that have occurred in the finals tournament of the FIFA World Cup. Penalty shootouts were introduced as tiebreakers in the 1978 World Cup, but did not occur before 1982. The first time a World Cup title was won by penalty shootout was in 1994. The only other time was in 2006. By the end of the 2018 edition, 30 shootouts have taken place in the World Cup. Of these, only two reached the sudden death stage after still being tied at the end of best of five kicks. Does the World Cup final go to penalties?",True,True,true
26,"Kingdom! King Udamu! King Udamu! is a Japanese manga series written and illustrated by Yasuhisa Hara, Yuen Taiju, Hara Yasuhisa. The manga provides a fictionalized account of the warring states period, primarily through the experiences of the war orphan Shin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a 38-episode anime series by Studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 4, 2014. An English-language release of the anime was licensed by Funimation. Is Kingdom manga based on a true story?",True,True,true
27,"As of 2014, the contracting parties to the EEA are three of the four EFTA member states and 27 of the 28 EU member states. The 28th and newest EU member, Croatia, finished negotiating their accession to the EEA in November 2013 and since 12 April 2014 is provisionally applying the agreement pending its ratification by all EEA member states. Is Croatia part of the European Economic Area?",False,False,true
28,"Posthumous marriage, or necrogamy, is a marriage in which one of the participating members is deceased. It is legal in France, and similar forms are practiced in Sudan and China. Since World War I, France has had hundreds of requests each year, of which many have been accepted. Can you marry a dead person in France?",True,True,true
