id,transcription,gpt_answer,gpt_normalized_answer,ground_truth
10,"Badgers are short-legged omnivores that belong to the Mustelidae family, which also includes otters, polecats, weasels, and wolverines. They are part of the caniform suborder of carnivorous mammals. There are 11 species of badgers, which are divided into three subfamilies. Melinae, Eurasian badgers, Melivarinae, the honey badger or ratel, and Taxidenae, the American badger. The Asiatic stink badgers from the genus Midas were previously classified under Melinae and thus Mustelidae, but recent genetic studies have shown that they actually belong to the skunk family, which places them in the taxonomic family Mephitidae. Is a wolverine the same as a badger?",False,False,false
11,"Green Lantern released on June 17, 2011, and it got mostly negative reviews. Many people criticized the film for its screenplay, inconsistent tone, the choice and portrayal of villains, and the use of CGI, though some did appreciate Reynolds' acting. Later on, Reynolds himself expressed his disappointment with the film. It didn't do well at the box office, earning $219 million against a production budget of $200 million. Because of the negative feedback and the poor box office performance, Warner Bros. decided to cancel any plans for a sequel. Instead, they chose to reboot the character in the DC Extended Universe with a film called Green Lantern Co., which is set to release in 2020. Will there be a Green Lantern 2 movie?",False,False,false
12,"the United States should get the opportunity to observe and evaluate how the court operates over a period of time before deciding to accept its jurisdiction. Keeping these concerns in mind, I will not and I do not suggest that my successor submit the treaty to the Senate for their advice and consent until our core concerns are addressed. Does the IGEC have jurisdiction in the United States?",False,False,false
13,"Calcium carbide is a chemical compound with the formula CaC2. Its primary industrial use is for making acetylene and calcium cyanamide. Calcium carbide CaC2 is the raw material for the production of acetylene".,True,True,true
14,"Now You See Me is a series of heist thriller films written by Ed Solomon, Boaz Yakin and Edward Ricoeur. The story revolves around a group of illusionists called the Four Horsemen who manage to pull off seemingly impossible heists. The series boasts a talented ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzie Kaplan and Morgan Freeman. The first film came out in 2013, followed by the second one in 2016 and a third film is currently in the works, expected to release in 2019. The series has received a mix of reviews from critics and audiences alike and has earned nearly $700 million globally. Is there a Now You See Me 3 coming out?",True,True,true
15,"A shootout is generally seen as something separate from the match which preceded it, especially for statistical reasons. In a two-legged tie, the two matches are treated either as two draws or as one win and one loss. For a single match, it's still counted as a draw. This is different from a match that is won in extra time, where the score at the end of regular time doesn't matter anymore. Penalties scored during a shootout are not counted as goals for a player's individual records or for the Golden Boot Awards. Does a penalty shootout goal count towards the Golden Boot?",False,False,false
16,"Cutthroat Kitchen is a cooking show hosted by Alton Brown that was aired on the Food Network from August 11, 2013 to July 19, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants have to face auctions where they can buy chances to sabotage each other. Each chef starts with $25,000. The one who remains at the end keeps whatever money they haven't spent in the auctions. The show concluded with its 15th season in July 2017. This series shares some basic elements with other four-chef, three-round elimination-style competitions on the Food Network, like Chopped N' Guys grocery games. Many contestants from Cutthroat Kitchen have also participated in these shows. Will there be a new season of Cutthroat Kitchen?",False,False,false
17,"In 2006, Sigma was voted as one of the 100 legends of the IHSR Boys Basketball Tournament, which is a group of former players and coaches recognized for the 100th anniversary of the IHSR Boys Basketball Tournament. On June 27, 2017, Sigma was inducted into the Small College Basketball Hall of Fame as part of their second class. Along with Sigma, others who were inducted include Zelmo Beatty, Walt Fraser, Bob Love, Elmore Smith, Jim Spivey, Rico Swanson, George Tinsley, and Al Tucker. Is Jack Sigma in the Hall of Fame?",True,True,true
18,"In J.R.R. Tolkien's imaginary world of Middle-earth, the half-elven, in Sindarin, it's peredil for singular and peredil for plural, while in Quenya, it's perelda for singular, are the children of the union between elves and men. Among these, the most notable were the result of relationships between the Eldar, the elves who answered the call to Valinor, and the Aedain, the men from the three houses of early humans who joined forces with the Eldar in their battle against Moggoth. Can elves and humans have children in Lord of the Rings?",True,True,true
19,"The Boy in the Plastic Bubble is a 1976 American television drama film inspired by the true stories of David Vetter and Ted DeVita, who had weak immune systems. It features John Travolta, Glynis O'Connor, Dinah Hyland, Robert Reed, Ralph Bellamy, and P.J. Soules. The screenplay was penned by Douglas Day Stewart, with Aaron Spelling and Leonard Goldberg serving as executive producers. They were also behind shows like Starsky and Hutch and Charlie's Angels at that time. And it was directed by Randall Kleiser, who later collaborated with Travolta again in Greece. The original music score was created by Mark Snow and the theme song, What Would They Say, was written and performed by Paul Williams. The filming took place at William Howard Taft High School in Woodland Hills. The Boy in the Plastic Bubble, based on a true story,",True,True,true
20,"These terms are used in relation to reasoning epistemology to differentiate between necessary conclusions from first premises, that is, what needs to come before sensory observation and conclusions based on sensory observation, which should follow it. So the two types of knowledge, justification or argument can be explained as follows. It starts with the idea that we should first gain knowledge through observation.",False,False,true
21,"Timothy Donnell Brown, who was born on July 22, 1966, is a former American football wide receiver. He played professionally in the National Football League, NFL. During his college days, he played for Notre Dame, where he won the Heisman Trophy, making him the first wide receiver to achieve that honor. He spent a remarkable 16 years with the Los Angeles Tides Oakland Raiders, where he made a name for himself as one of the most prolific wide receivers in the NFL. Brown has also had a stint with the Tampa Bay Buccaneers. In 2015, he was inducted into the Pro Football Hall of Fame. Is Tim Brown in the Hall of Fame?",True,True,true
22,"In Denmark, drinking in public is generally allowed. The law only prohibits disturbing public peace and order. So casual drinking is quite acceptable. Many cafes even have outdoor seating in those areas. Can you drink alcohol in public in Denmark?",True,True,true
23,"Both Jersey notes and Bank of England notes are considered legal tender in Jersey and they circulate together, along with the Guernsey Pound and Scottish Bank notes. However, the Jersey notes are not legal tender in the United Kingdom, but they are recognized as legal currency. So creditors and traders can accept them if they want to. Is the Jersey currency legal tender in the UK?",False,False,false
24,"The Bucks have won one league title in 1971, two conference titles in 1971 and 1974, and 13 division titles from 1971 to 1984, 1986, 1980 to 1986, and in 2001. They have had some really famous players like Karim Abdul-Jabbar, Sidney Moncrieff, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Cassell, Junior Bridgman, Michael Redd, Terry Cummings, Winn Baker, John McLaughlin, Marcus Johnson, and Brian Winters. Have the Milwaukee Bucks ever won a championship?",True,True,true
25,"This is a list of all the penalty shootouts that have happened in the finals tournament of the FIFA World Cup. Penalty shootouts were introduced as tiebreakers in the 1978 World Cup, but they didn't happen before 1982. The first time a World Cup title was decided by a penalty shootout was in 1994. The only other time it happened was in 2006. By the end of the 2018 edition, there have been 30 shootouts in the World Cup. Out of these, only two went to the sudden death stage after being tied even after the best of five kicks. Does the World Cup final go to penalties?",True,True,true
26,"Kingdom Kingudamu Kingudamu is a Japanese manga series written and illustrated by Yasuhisa Hara, Yuan Taiju, Hara Yasuhisa. The manga tells a fictionalized story set during the warring states period, mainly following the journey of a war orphan named Sin and his friends, as he strives to become the greatest general under the heavens, and in the process unifies China for the first time in history. The series was adapted into a 38-episode anime by Studio Pierrot, which aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 4, 2014. Funimation has licensed the English-language release of the anime. Is Kingdom manga based on a true story?",True,True,true
27,"As of 2014, the contracting parties to the EEA include 3 out of the 4 EFTA member states and 27 of the 28 EU member states. The 28th and latest EU member, Croatia, completed its negotiations for joining the EEA in November 2013 and from 12 April 2014, it has been provisionally applying the agreement while waiting for all EEA member states to ratify it. Is Croatia part of the European Economic Area?",True,True,true
28,"Posthumous marriage, or necrogyny as it's called, is when one of the people getting married is no longer alive. This is actually legal in France and similar practices can be seen in places like Sudan and China. Since World War I, France has received hundreds of such requests every year and many of them have been approved. Can you marry a dead person in France?",True.,True,true
